,lnc,blnc,gnc,places,transitions,in_agent_ratio,out_agent_ratio,places_communication
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,2,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,3,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,4,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
0,1.0,1.0,1.0,5,5,0.8,0.8,0
